# time rdo00 rdo01 rdo10 rdo11
2534.2261854466633 (0.5+0j) (0.19516652774158236+0.011280264246742501j) (0.1951665277415896-0.011280264246741913j) (0.5+0j)
2538.360322780182 (0.5+0j) (0.19445638464245604+0.011257594973796116j) (0.1944563846424635-0.011257594973795531j) (0.5+0j)
2542.4944601137 (0.5+0j) (0.19374038688618342+0.011234452191839942j) (0.1937403868861913-0.011234452191839338j) (0.5+0j)
2546.628597447218 (0.5+0j) (0.19301904446415258+0.011210863860353677j) (0.19301904446416066-0.011210863860353047j) (0.5+0j)
2550.7627347807365 (0.5+0j) (0.19229287102020323+0.01118685834403992j) (0.19229287102021103-0.011186858344039242j) (0.5+0j)
2554.8968721142546 (0.5+0j) (0.19156238317027327+0.011162464374910428j) (0.19156238317028093-0.011162464374909758j) (0.5+0j)
2559.0310094477727 (0.5+0j) (0.19082809983429064+0.011137711014701583j) (0.19082809983429788-0.011137711014700917j) (0.5+0j)
2563.165146781291 (0.5+0j) (0.19009054158152852+0.011112627617697898j) (0.19009054158153624-0.011112627617697242j) (0.5+0j)
2567.2992841148093 (0.5+0j) (0.18935022999054427+0.011087243794038635j) (0.1893502299905522-0.01108724379403799j) (0.5+0j)
2571.4334214483274 (0.5+0j) (0.18860768702472047+0.011061589373576281j) (0.18860768702472835-0.011061589373575622j) (0.5+0j)
2575.5675587818455 (0.5+0j) (0.18786343442432515+0.011035694370351467j) (0.18786343442433298-0.011035694370350775j) (0.5+0j)
2579.701696115364 (0.5+0j) (0.18711799311590835+0.011009588947743289j) (0.1871179931159165-0.011009588947742578j) (0.5+0j)
2583.835833448882 (0.5+0j) (0.18637188263975865+0.0109833033843489j) (0.18637188263976678-0.010983303384348197j) (0.5+0j)
2587.9699707824 (0.5+0j) (0.18562562059603588+0.010956868040640964j) (0.1856256205960441-0.010956868040640272j) (0.5+0j)
2592.1041081159183 (0.5+0j) (0.18487972211011067+0.010930313326446481j) (0.18487972211011885-0.010930313326445791j) (0.5+0j)
2596.238245449437 (0.5+0j) (0.18413469931754553+0.0109036696692855j) (0.18413469931755408-0.010903669669284854j) (0.5+0j)
2600.372382782955 (0.5+0j) (0.18339106086906046+0.010876967483603077j) (0.1833910608690692-0.010876967483602448j) (0.5+0j)
2604.506520116473 (0.5+0j) (0.18264931145574057+0.010850237140922835j) (0.18264931145574878-0.010850237140922257j) (0.5+0j)
2608.640657449991 (0.5+0j) (0.1819099513546599+0.010823508940946346j) (0.18190995135466848-0.010823508940945775j) (0.5+0j)
2612.7747947835096 (0.5+0j) (0.18117347599502176+0.010796813083616791j) (0.18117347599503017-0.010796813083616243j) (0.5+0j)
2616.9089321170277 (0.5+0j) (0.18044037554482628+0.010770179642162458j) (0.18044037554483508-0.01077017964216193j) (0.5+0j)
2621.0430694505458 (0.5+0j) (0.17971113451801995+0.010743638537129752j) (0.17971113451802898-0.010743638537129244j) (0.5+0j)
2625.1772067840643 (0.5+0j) (0.1789862314020036+0.010717219511412595j) (0.178986231402013-0.01071721951141213j) (0.5+0j)
2629.3113441175824 (0.5+0j) (0.1782661383053191+0.010690952106280648j) (0.17826613830532848-0.010690952106280191j) (0.5+0j)
2633.4454814511005 (0.5+0j) (0.17755132062527285+0.010664865638404963j) (0.17755132062528248-0.010664865638404514j) (0.5+0j)
2637.5796187846186 (0.5+0j) (0.17684223673519878+0.01063898917787696j) (0.17684223673520905-0.010638989177876538j) (0.5+0j)
2641.713756118137 (0.5+0j) (0.17613933769102433+0.010613351527212577j) (0.17613933769103457-0.010613351527212204j) (0.5+0j)
2645.847893451655 (0.5+0j) (0.1754430669567378+0.010587981201331125j) (0.17544306695674805-0.010587981201330757j) (0.5+0j)
2649.9820307851733 (0.5+0j) (0.17475386014833894+0.010562906408495092j) (0.17475386014834915-0.010562906408494705j) (0.5+0j)
2654.116168118692 (0.5+0j) (0.17407214479580072+0.0105381550321952j) (0.17407214479581076-0.010538155032194832j) (0.5+0j)
2658.25030545221 (0.5+0j) (0.17339834012254587+0.010513754613962362j) (0.17339834012255623-0.010513754613962015j) (0.5+0j)
2662.384442785728 (0.5+0j) (0.172732856841911+0.010489732337085968j) (0.1727328568419209-0.010489732337085623j) (0.5+0j)
2666.518580119246 (0.5+0j) (0.17207609697005022+0.010466115011216552j) (0.1720760969700599-0.010466115011216236j) (0.5+0j)
2670.6527174527646 (0.5+0j) (0.17142845365470996+0.010442929057829085j) (0.1714284536547196-0.010442929057828773j) (0.5+0j)
2674.7868547862827 (0.5+0j) (0.17079031101928774+0.010420200496521443j) (0.17079031101929731-0.010420200496521117j) (0.5+0j)
2678.9209921198008 (0.5+0j) (0.17016204402157745+0.01039795493212172j) (0.1701620440215871-0.010397954932121386j) (0.5+0j)
2683.0551294533193 (0.5+0j) (0.16954401832659374+0.010376217542577022j) (0.16954401832660324-0.010376217542576685j) (0.5+0j)
2687.1892667868374 (0.5+0j) (0.16893659019286275+0.010355013067595406j) (0.1689365901928723-0.010355013067595072j) (0.5+0j)
2691.3234041203555 (0.5+0j) (0.16834010637156133+0.010334365798011808j) (0.16834010637157087-0.010334365798011488j) (0.5+0j)
2695.4575414538735 (0.5+0j) (0.16775490401788737+0.01031429956584887j) (0.16775490401789653-0.010314299565848551j) (0.5+0j)
2699.591678787392 (0.5+0j) (0.16718131061404592+0.010294837735042419j) (0.16718131061405517-0.010294837735042098j) (0.5+0j)
2703.72581612091 (0.5+0j) (0.16661964390324038+0.01027600319280194j) (0.1666196439032492-0.01027600319280162j) (0.5+0j)
2707.8599534544283 (0.5+0j) (0.16607021183406+0.010257818341575612j) (0.16607021183406864-0.010257818341575315j) (0.5+0j)
2711.9940907879463 (0.5+0j) (0.1655333125146682+0.010240305091590008j) (0.1655333125146769-0.010240305091589694j) (0.5+0j)
2716.128228121465 (0.5+0j) (0.1650092341762041+0.010223484853934248j) (0.1650092341762125-0.0102234848539339j) (0.5+0j)
2720.262365454983 (0.5+0j) (0.1644982551448139+0.010207378534159038j) (0.1644982551448225-0.010207378534158722j) (0.5+0j)
2724.396502788501 (0.5+0j) (0.1640006438217521+0.010192006526361076j) (0.16400064382176133-0.010192006526360766j) (0.5+0j)
2728.5306401220196 (0.5+0j) (0.16351665867099313+0.010177388707723252j) (0.1635166586710023-0.010177388707722944j) (0.5+0j)
2732.6647774555377 (0.5+0j) (0.16304654821381132+0.01016354443348254j) (0.16304654821382072-0.010163544433482205j) (0.5+0j)
