# time rdo00 rdo01 rdo10 rdo11
70.28033466980959 (0.5+0j) (0.4718561611667363+0.0007554915145453784j) (0.4718561611667363-0.0007554915145453787j) (0.5+0j)
74.4144720033278 (0.5+0j) (0.4686415831734329+0.0007944826333573859j) (0.4686415831734329-0.0007944826333573864j) (0.5+0j)
78.54860933684601 (0.5+0j) (0.4652854365119332+0.0008326149151158154j) (0.4652854365119332-0.0008326149151158161j) (0.5+0j)
82.68274667036422 (0.5+0j) (0.46179385575039955+0.0008698599154786433j) (0.46179385575039955-0.000869859915478644j) (0.5+0j)
86.81688400388244 (0.5+0j) (0.4581731205190425+0.0009061917880741086j) (0.4581731205190425-0.0009061917880741094j) (0.5+0j)
90.95102133740065 (0.5+0j) (0.4544296349383984+0.0009415873101905093j) (0.4544296349383984-0.0009415873101905101j) (0.5+0j)
95.08515867091886 (0.5+0j) (0.450569907112557+0.0009760258969811627j) (0.450569907112557-0.0009760258969811639j) (0.5+0j)
99.21929600443707 (0.5+0j) (0.4466005287862486+0.0010094896044509456j) (0.4466005287862486-0.001009489604450947j) (0.5+0j)
103.35343333795528 (0.5+0j) (0.4425281552605665+0.0010419631215556262j) (0.4425281552605665-0.0010419631215556277j) (0.5+0j)
107.48757067147349 (0.5+0j) (0.43835948565741545+0.0010734337518051524j) (0.43835948565741545-0.0010734337518051539j) (0.5+0j)
111.6217080049917 (0.5+0j) (0.43410124361759017+0.0011038913848167473j) (0.43410124361759017-0.001103891384816749j) (0.5+0j)
115.75584533850991 (0.5+0j) (0.42976015851176974+0.001133328458312828j) (0.42976015851176974-0.00113332845831283j) (0.5+0j)
119.88998267202813 (0.5+0j) (0.4253429472377319+0.0011617399111021644j) (0.4253429472377319-0.0011617399111021663j) (0.5+0j)
124.02412000554634 (0.5+0j) (0.4208562966708085+0.0011891231276201725j) (0.4208562966708085-0.0011891231276201749j) (0.5+0j)
128.15825733906456 (0.5+0j) (0.4163068468280917+0.0012154778746357277j) (0.4163068468280917-0.0012154778746357303j) (0.5+0j)
132.29239467258276 (0.5+0j) (0.41170117480022395+0.001240806230757346j) (0.41170117480022395-0.0012408062307573487j) (0.5+0j)
136.42653200610096 (0.5+0j) (0.40704577949782633+0.00126511250939108j) (0.40704577949782633-0.0012651125093910828j) (0.5+0j)
140.56066933961918 (0.5+0j) (0.40234706725281094+0.0012884031758161132j) (0.40234706725281094-0.001288403175816116j) (0.5+0j)
